Date,Date_planet,Cell_Third,MEAN_Bioma
20170410,20170403,A1,0.336508
20170410,20170403,A2,0.393791
20170410,20170403,A3,0.580741
20170410,20170403,B1,0.128791
20170410,20170403,B2,0.432512
20170410,20170403,B3,0.215483
20170410,20170403,C1,0.332711
20170410,20170403,C2,0.402817
20170410,20170403,C3,0.451848
20170410,20170403,D1,0.218309
20170410,20170403,D2,0.718732
20170410,20170403,D3,0.045099
20170410,20170403,E1,0.116603
20170410,20170403,E2,0.158549
20170410,20170403,E3,0.078977
20170410,20170403,F1,0.678569
20170410,20170403,F2,0.751575
20170410,20170403,F3,0.103928
20170410,20170403,G1,0.332464
20170410,20170403,G2,1.054611
20170410,20170403,G3,0.528816
20170410,20170403,H1,0.411611
20170410,20170403,H2,0.43137
20170410,20170403,H3,0.872694
20190612,20190612,C1,1.83936
20190612,20190612,E2,1.44352
20190612,20190612,F2,1.52205
20190612,20190612,F3,5.44124
20190124,20190124,E1,0.158
20190124,20190124,F2,0.907
20190124,20190124,F3,0.105
20190228,20190222,D1,0.2422
20190228,20190222,D2,0.64624
20190228,20190222,E1,0.63388
20190228,20190222,E2,0.55184
20190228,20190222,F1,0.4002
20190228,20190222,F2,0.84008
